6
<<<<<<< HEAD
KH|0101|Nguyen Van Anh|345|Da Nang|nguyenvana@gmail.com|1|
KH|0067|Nguyen Van Binh|456|Da Nang|nguyenvanb@gmail.com|1|
KH|0106|Nguyen Van Cuong|9741241|Da Nang|nguyenvan123@gmail.com|1|
KH|0578|Nguyen Van Huy|0978969|Da Nang|nguyenvan1234@gmail.com|1|
KH|0098|Nguyen Van Huy|9741241|Da Nang|nguyenvand122@gmail.com|1|
KH|0090|Nguyen Van Huybu|0978969|Da Nang|nguyenvanf@gmail.com|1|
=======
KH|0101|Nguyen Van Anh|0978482700|Da Nang|nguyenvana@gmail.com|1|
KH|0067|Nguyen Hung Nghia|0769052175|Da Nang|nguyenvanb@gmail.com|1|
KH|0106|Le Van Hung|0326830158|Da Nang|nguyenvana@gmail.com|1|
KH|0578|Nguyen Van Binh|0978482701|Da Nang|nguyenvane@gmail.com|1|
KH|0098|Huynh Viet Hung|0978482702|Da Nang|nguyenvand@gmail.com|1|
KH|0090|Dong Anh Duong|0978482703|Da Nang|nguyenvanf@gmail.com|0|
>>>>>>> 02afdf3b503d29daec40bf25081a946f56ebb04d
